term_id,japanese,english,german,french,spanish,portuguese,italian,czech,polish,turkish,vietnamese,thai,indonesian,korean,chinese_simplified,chinese_traditional,mexican_spanish,domain,locked
TERM_112,コントローラ,controller,Steuerung,contrôleur,controlador,controlador,controllore,řídící jednotka,sterownik,kontrol cihazı,bộ điều khiển,ตัวควบคุม,SEM_112,컨트롤러,控制器,控制器,controlador,control,true
TERM_113,インターフェース,interface,Schnittstelle,interface,interfaz,interface,interfaccia,rozhraní,interfejs,arayüz,giao diện,อินเทอร์เฟซ,SEM_113,인터페이스,接口,介面,interfaz,control,true
TERM_114,デジタル信号,digital signal,Digitalsignal,signal numérique,señal digital,sinal digital,segnale digitale,digitální signál,sygnał cyfrowy,dijital sinyal,tín hiệu số,สัญญาณดิจิทัล,SEM_114,디지털 신호,数字信号,數位訊號,señal digital,communication,true
TERM_115,アナログ信号,analog signal,Analogsignal,signal analogique,señal analógica,sinal analógico,segnale analogico,analogový signál,sygnał analogowy,analog sinyal,tín hiệu tương tự,สัญญาณอนาล็อก,SEM_115,아날로그 신호,模拟信号,類比訊號,señal analógica,communication,true
TERM_116,IO-Link,IO-Link,IO-Link,IO-Link,IO-Link,IO-Link,IO-Link,IO-Link,IO-Link,IO-Link,IO-Link,ไอโอลิงค์,SEM_116,IO-Link,IO-Link,IO-Link,IO-Link,communication,true
TERM_117,Ethernet,Ethernet,Ethernet,Ethernet,Ethernet,Ethernet,Ethernet,Ethernet,Ethernet,Ethernet,Ethernet,อีเทอร์เน็ต,SEM_117,이더넷,以太网,乙太網路,Ethernet,communication,true
TERM_118,RS-232,RS-232,RS-232,RS-232,RS-232,RS-232,RS-232,RS-232,RS-232,RS-232,RS-232,อาร์เอส-232,SEM_118,RS-232,RS-232,RS-232,RS-232,communication,true
TERM_119,ISO規格,ISO standard,ISO-Norm,norme ISO,norma ISO,norma ISO,norma ISO,norma ISO,norma ISO,ISO standardı,tiêu chuẩn ISO,มาตรฐาน ISO,SEM_119,ISO 규격,ISO标准,ISO標準,norma ISO,standards,true
TERM_120,JIS規格,JIS standard,JIS-Norm,norme JIS,norma JIS,norma JIS,norma JIS,norma JIS,norma JIS,JIS standardı,tiêu chuẩn JIS,มาตรฐาน JIS,SEM_120,JIS 규격,JIS标准,JIS標準,norma JIS,standards,true
TERM_121,DIN規格,DIN standard,DIN-Norm,norme DIN,norma DIN,norma DIN,norma DIN,norma DIN,norma DIN,DIN standardı,tiêu chuẩn DIN,มาตรฐาน DIN,SEM_121,DIN 규격,DIN标准,DIN標準,norma DIN,standards,true
TERM_122,CEマーク,CE marking,CE-Kennzeichnung,marquage CE,marcado CE,marcação CE,marcatura CE,označení CE,oznakowanie CE,CE işaretlemesi,ký hiệu CE,เครื่องหมาย CE,SEM_122,CE 마크,CE认证,CE認證,marcado CE,certification,true
TERM_123,UL認証,UL certification,UL-Zertifizierung,certification UL,certificación UL,certificação UL,certificazione UL,certifikace UL,certyfikat UL,UL sertifikası,chứng nhận UL,การรับรอง UL,SEM_123,UL 인증,UL认证,UL認證,certificación UL,certification,true
TERM_124,RoHS指令,RoHS directive,RoHS-Richtlinie,directive RoHS,directiva RoHS,diretiva RoHS,direttiva RoHS,směrnice RoHS,dyrektywa RoHS,RoHS direktifi,chỉ thị RoHS,คำสั่ง RoHS,SEM_124,RoHS 지침,RoHS指令,RoHS指令,directiva RoHS,environmental,true
TERM_125,REACH規則,REACH regulation,REACH-Verordnung,règlement REACH,reglamento REACH,regulamento REACH,regolamento REACH,nařízení REACH,rozporządzenie REACH,REACH yönetmeliği,quy định REACH,ข้อบังคับ REACH,SEM_125,REACH 규정,REACH法规,REACH法規,reglamento REACH,environmental,true
TERM_126,配線,wiring,Verkabelung,câblage,cableado,cabeamento,cablaggio,kabeláž,okablowanie,kablolama,hệ thống dây,การเดินสาย,SEM_126,배선,布线,配線,cableado,wiring,true
TERM_127,シールド線,shielded cable,abgeschirmtes Kabel,câble blindé,cable blindado,cabo blindado,cavo schermato,stíněný kabel,kabel ekranowany,korumalı kablo,cáp che chắn,สายเคเบิลป้องกัน,SEM_127,실드선,屏蔽电缆,遮蔽電纜,cable blindado,wiring,true
TERM_128,ツイストペア線,twisted pair cable,verdrilltes Kabelpaar,paire torsadée,cable de par trenzado,cabo de par trançado,cavo a coppia intrecciata,kroucený pár,skrętka,bükümlü çift kablo,cáp xoắn đôi,สายคู่บิด,SEM_128,트위스트 페어선,双绞线,雙絞線,cable de par trenzado,wiring,true
TERM_129,アース線,ground wire,Erdungsleiter,fil de terre,cable de tierra,fio terra,filo di terra,uzemňovací vodič,przewód uziemiający,topraklama teli,dây nối đất,สายดิน,SEM_129,접지선,接地线,接地線,cable de tierra,wiring,true
TERM_130,過電流保護,overcurrent protection,Überstromschutz,protection contre les surintensités,protección contra sobrecorriente,proteção contra sobrecorrente,protezione da sovracorrente,ochrana proti nadproudu,zabezpieczenie nadprądowe,aşırı akım koruması,bảo vệ quá dòng,การป้องกันกระแสเกิน,SEM_130,과전류 보호,过电流保护,過電流保護,protección contra sobrecorriente,protection,true
TERM_131,過電圧保護,overvoltage protection,Überspannungsschutz,protection contre les surtensions,protección contra sobretensión,proteção contra sobretensão,protezione da sovratensione,ochrana proti přepětí,zabezpieczenie przepięciowe,aşırı gerilim koruması,bảo vệ quá áp,การป้องกันแรงดันเกิน,SEM_131,과전압 보호,过电压保护,過電壓保護,protección contra sobretensión,protection,true
TERM_132,短絡保護,short circuit protection,Kurzschlussschutz,protection contre les courts-circuits,protección contra cortocircuito,proteção contra curto-circuito,protezione da cortocircuito,ochrana proti zkratu,zabezpieczenie zwarciowe,kısa devre koruması,bảo vệ ngắn mạch,การป้องกันลัดวงจร,SEM_132,단락 보호,短路保护,短路保護,protección contra cortocircuito,protection,true
TERM_133,逆接続保護,reverse polarity protection,Verpolungsschutz,protection contre l'inversion de polarité,protección contra inversión de polaridad,proteção contra inversão de polaridade,protezione contro inversione di polarità,ochrana proti přepólování,zabezpieczenie przed odwrotną polaryzacją,ters kutuplama koruması,bảo vệ cực tính ngược,การป้องกันขั้วกลับ,SEM_133,역접속 보호,反接保护,反接保護,protección contra inversión de polaridad,protection,true
TERM_134,起動,startup,Inbetriebnahme,démarrage,arranque,inicialização,avviamento,spuštění,uruchomienie,başlatma,khởi động,การเริ่มต้น,SEM_134,기동,启动,啟動,arranque,operation,true
TERM_135,停止,stop,Stopp,arrêt,parada,parada,arresto,zastavení,zatrzymanie,durdurma,dừng,หยุด,SEM_135,정지,停止,停止,parada,operation,true
TERM_136,非常停止,emergency stop,Not-Halt,arrêt d'urgence,parada de emergencia,parada de emergência,arresto di emergenza,nouzové zastavení,zatrzymanie awaryjne,acil durdurma,dừng khẩn cấp,หยุดฉุกเฉิน,SEM_136,비상 정지,紧急停止,緊急停止,parada de emergencia,operation,true
TERM_137,リセット,reset,Rückstellung,réinitialisation,reinicio,reinicialização,ripristino,resetování,reset,sıfırlama,đặt lại,รีเซ็ต,SEM_137,리셋,复位,復位,reinicio,operation,true
TERM_138,故障,failure,Störung,panne,fallo,falha,guasto,porucha,awaria,arıza,hỏng hóc,ความล้มเหลว,SEM_138,고장,故障,故障,fallo,diagnostics,true
TERM_139,エラー,error,Fehler,erreur,error,erro,errore,chyba,błąd,hata,lỗi,ข้อผิดพลาด,SEM_139,에러,错误,錯誤,error,diagnostics,true
TERM_140,警報,alarm,Alarm,alarme,alarma,alarme,allarme,alarm,alarm,alarm,cảnh báo,สัญญาณเตือน,SEM_140,경보,报警,報警,alarma,diagnostics,true
TERM_141,診断,diagnosis,Diagnose,diagnostic,diagnóstico,diagnóstico,diagnostica,diagnostika,diagnostyka,teşhis,chẩn đoán,การวินิจฉัย,SEM_141,진단,诊断,診斷,diagnóstico,diagnostics,true
TERM_142,表示器,display,Anzeige,afficheur,pantalla,display,display,displej,wyświetlacz,gösterge,màn hình,จอแสดงผล,SEM_142,표시기,显示器,顯示器,pantalla,display,true
TERM_143,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,LED,แอลอีดี,SEM_143,LED,LED,LED,LED,display,true
TERM_144,液晶ディスプレイ,LCD,LCD,écran LCD,pantalla LCD,display LCD,display LCD,LCD displej,wyświetlacz LCD,LCD ekran,màn hình LCD,จอ LCD,SEM_144,LCD,液晶显示器,液晶顯示器,pantalla LCD,display,true
TERM_145,手動操作,manual operation,Handbetrieb,fonctionnement manuel,operación manual,operação manual,funzionamento manuale,ruční provoz,obsługa ręczna,manuel çalıştırma,vận hành thủ công,การทำงานด้วยมือ,SEM_145,수동 조작,手动操作,手動操作,operación manual,operation,true
TERM_146,自動運転,automatic operation,Automatikbetrieb,fonctionnement automatique,operación automática,operação automática,funzionamento automatico,automatický provoz,obsługa automatyczna,otomatik çalıştırma,vận hành tự động,การทำงานอัตโนมัติ,SEM_146,자동 운전,自动运行,自動運轉,operación automática,operation,true
TERM_147,連続運転,continuous operation,Dauerbetrieb,fonctionnement continu,operación continua,operação contínua,funzionamento continuo,nepřetržitý provoz,praca ciągła,sürekli çalışma,vận hành liên tục,การทำงานต่อเนื่อง,SEM_147,연속 운전,连续运行,連續運轉,operación continua,operation,true
TERM_148,間欠運転,intermittent operation,Intervallbetrieb,fonctionnement intermittent,operación intermitente,operação intermitente,funzionamento intermittente,přerušovaný provoz,praca przerywan a,aralıklı çalışma,vận hành gián đoạn,การทำงานไม่ต่อเนื่อง,SEM_148,간헐 운전,间歇运行,間歇運轉,operación intermitente,operation,true
TERM_149,ブラケット,bracket,Halterung,support,soporte,suporte,staffa,konzola,wspornik,braketi,giá đỡ,ขาจับ,SEM_149,브래킷,支架,支架,soporte,accessories,true
TERM_150,カバー,cover,Abdeckung,couvercle,cubierta,tampa,coperchio,kryt,pokrywa,kapak,nắp,ฝาครอบ,SEM_150,커버,盖,蓋,cubierta,accessories,true
TERM_151,プレート,plate,Platte,plaque,placa,placa,piastra,deska,płyta,plaka,tấm,แผ่น,SEM_151,플레이트,板,板,placa,accessories,true
TERM_152,ボルト,bolt,Schraube,boulon,perno,parafuso,bullone,šroub,śruba,cıvata,bu lông,สลักเกลียว,SEM_152,볼트,螺栓,螺栓,perno,fasteners,true
TERM_153,ナット,nut,Mutter,écrou,tuerca,porca,dado,matice,nakrętka,somun,đai ốc,นัต,SEM_153,너트,螺母,螺帽,tuerca,fasteners,true
TERM_154,ワッシャー,washer,Unterlegscheibe,rondelle,arandela,arruela,rondella,podložka,podkładka,pul,vòng đệm,แหวนรอง,SEM_154,와셔,垫圈,墊圈,arandela,fasteners,true
TERM_155,ピン,pin,Stift,goupille,pasador,pino,perno,čep,sworzeń,pim,chốt,หมุด,SEM_155,핀,销,銷,pasador,fasteners,true
TERM_156,測定,measurement,Messung,mesure,medición,medição,misurazione,měření,pomiar,ölçüm,đo lường,การวัด,SEM_156,측정,测量,測量,medición,measurement,true
TERM_157,精度,accuracy,Genauigkeit,précision,precisión,precisão,precisione,přesnost,dokładność,hassasiyet,độ chính xác,ความแม่นยำ,SEM_157,정밀도,精度,精度,precisión,measurement,true
TERM_158,公差,tolerance,Toleranz,tolérance,tolerancia,tolerância,tolleranza,tolerance,tolerancja,tolerans,dung sai,ความคลาดเคลื่อน,SEM_158,공차,公差,公差,tolerancia,measurement,true
TERM_159,寸法公差,dimensional tolerance,Maßtoleranz,tolérance dimensionnelle,tolerancia dimensional,tolerância dimensional,tolleranza dimensionale,rozměrová tolerance,tolerancja wymiarowa,boyutsal tolerans,dung sai kích thước,ความคลาดเคลื่อนขนาด,SEM_159,치수 공차,尺寸公差,尺寸公差,tolerancia dimensional,measurement,true
TERM_160,品質管理,quality control,Qualitätskontrolle,contrôle qualité,control de calidad,controle de qualidade,controllo qualità,kontrola kvality,kontrola jakości,kalite kontrol,kiểm soát chất lượng,การควบคุมคุณภาพ,SEM_160,품질 관리,质量控制,品質管制,control de calidad,quality,true
TERM_161,試験,test,Prüfung,essai,prueba,ensaio,prova,zkouška,badanie,test,thử nghiệm,การทดสอบ,SEM_161,시험,试验,試驗,prueba,testing,true
TERM_162,耐圧試験,pressure test,Druckprüfung,essai de pression,prueba de presión,ensaio de pressão,prova di pressione,tlaková zkouška,próba ciśnieniowa,basınç testi,thử nghiệm áp suất,การทดสอบความดัน,SEM_162,내압 시험,耐压试验,耐壓試驗,prueba de presión,testing,true
TERM_163,気密試験,leak test,Dichtheitsprüfung,essai d'étanchéité,prueba de fugas,ensaio de estanqueidade,prova di tenuta,zkouška těsnosti,próba szczelności,sızdırmazlık testi,thử nghiệm rò rỉ,การทดสอบรั่ว,SEM_163,기밀 시험,气密试验,氣密試驗,prueba de fugas,testing,true
TERM_164,動作試験,operation test,Funktionsprüfung,essai de fonctionnement,prueba de funcionamiento,ensaio de funcionamento,prova di funzionamento,provozní zkouška,próba działania,çalışma testi,thử nghiệm hoạt động,การทดสอบการทำงาน,SEM_164,동작 시험,动作试验,動作試驗,prueba de funcionamiento,testing,true
TERM_165,耐久試験,endurance test,Dauerprüfung,essai d'endurance,prueba de resistencia,ensaio de resistência,prova di resistenza,vytrvalostní zkouška,próba wytrzymałościowa,dayanıklılık testi,thử nghiệm độ bền,การทดสอบความทนทาน,SEM_165,내구 시험,耐久试验,耐久試驗,prueba de resistencia,testing,true
TERM_166,ストローク,stroke,Hub,course,carrera,curso,corsa,zdvih,skok,strok,hành trình,ระยะชัก,SEM_166,스트로크,行程,行程,carrera,specifications,true
TERM_167,最大ストローク,maximum stroke,maximaler Hub,course maximale,carrera máxima,curso máximo,corsa massima,maximální zdvih,maksymalny skok,maksimum strok,hành trình tối đa,ระยะชักสูงสุด,SEM_167,최대 스트로크,最大行程,最大行程,carrera máxima,specifications,true
TERM_168,ボア径,bore diameter,Bohrungsdurchmesser,diamètre d'alésage,diámetro de cilindro,diâmetro do cilindro,diametro del foro,průměr vrtání,średnica cylindra,silindir çapı,đường kính lỗ,เส้นผ่านศูนย์กลางรูเจาะ,SEM_168,보어 직경,缸径,缸徑,diámetro de cilindro,specifications,true
TERM_169,ロッド径,rod diameter,Stangendurchmesser,diamètre de tige,diámetro de vástago,diâmetro da haste,diametro dello stelo,průměr tyče,średnica tłoczyska,kol çapı,đường kính cần,เส้นผ่านศูนย์กลางก้าน,SEM_169,로드 직경,杆径,桿徑,diámetro de vástago,specifications,true
TERM_170,圧力,pressure,Druck,pression,presión,pressão,pressione,tlak,ciśnienie,basınç,áp suất,ความดัน,SEM_170,압력,压力,壓力,presión,pressure,true
TERM_171,供給圧力,supply pressure,Versorgungsdruck,pression d'alimentation,presión de alimentación,pressão de alimentação,pressione di alimentazione,přívod tlaku,ciśnienie zasilania,besleme basıncı,áp suất cung cấp,ความดันจ่าย,SEM_171,공급 압력,供给压力,供給壓力,presión de alimentación,pressure,true
TERM_172,作動圧力,operating pressure,Betriebsdruck,pression de service,presión de trabajo,pressão de operação,pressione di esercizio,provozní tlak,ciśnienie robocze,çalışma basıncı,áp suất vận hành,ความดันการทำงาน,SEM_172,작동 압력,工作压力,工作壓力,presión de trabajo,pressure,true
TERM_173,圧力降下,pressure drop,Druckabfall,chute de pression,caída de presión,queda de pressão,caduta di pressione,pokles tlaku,spadek ciśnienia,basınç düşümü,giảm áp suất,การลดความดัน,SEM_173,압력 강하,压降,壓降,caída de presión,pressure,true
TERM_174,温度範囲,temperature range,Temperaturbereich,plage de température,rango de temperatura,faixa de temperatura,intervallo di temperatura,teplotní rozsah,zakres temperatur,sıcaklık aralığı,phạm vi nhiệt độ,ช่วงอุณหภูมิ,SEM_174,온도 범위,温度范围,溫度範圍,rango de temperatura,temperature,true
TERM_175,両ロッド,double rod,beidseitige Kolbenstange,double tige,doble vástago,haste dupla,doppio stelo,oboustranná tyč,dwustronne tłoczysko,çift kol,cần kép,ก้านคู่,SEM_175,양로드,双杆,雙桿,doble vástago,cylinder_features,true
TERM_176,スイッチ取付溝,switch mounting groove,Schalternut,rainure de montage du capteur,ranura de montaje del sensor,ranhura de montagem do sensor,scanalatura di montaggio sensore,drážka pro montáž snímače,rowek mocowania czujnika,anahtar montaj oluğu,rãnh lắp công tắc,ร่องติดตั้งสวิตช์,SEM_176,스위치 장착 홈,开关安装槽,開關安裝槽,ranura de montaje del sensor,cylinder_features,true
TERM_177,バンパ,bumper,Puffer,tampon,tope,batente,tampone,nárazník,zderzak,tampon,đệm đỡ,กันชน,SEM_177,범퍼,缓冲器,緩衝器,tope,cylinder_features,true
TERM_178,エアクッション調整,air cushion adjustment,Luftpolstereinstellung,réglage d'amortissement pneumatique,ajuste de amortiguación neumática,ajuste de amortecimento pneumático,regolazione ammortizzamento pneumatico,nastavení vzduchového polštáře,regulacja poduszki powietrznej,hava yastığı ayarı,điều chỉnh đệm khí,การปรับคุชชันลม,SEM_178,에어쿠션 조정,气垫调节,氣墊調節,ajuste de amortiguación neumática,cylinder_features,true
TERM_179,加減速,acceleration/deceleration,Beschleunigung/Verzögerung,accélération/décélération,aceleración/desaceleración,aceleração/desaceleração,accelerazione/decelerazione,zrychlení/zpomalení,przyspieszenie/opóźnienie,hızlanma/yavaşlama,tăng tốc/giảm tốc,การเร่ง/ลด,SEM_179,가감속,加减速,加減速,aceleración/desaceleración,motion_control,true
TERM_180,ソフトスタート,soft start,Sanftanlauf,démarrage progressif,arranque suave,partida suave,avviamento morbido,pozvolný start,łagodny rozruch,yumuşak başlatma,khởi động mềm,เริ่มต้นแบบนุ่ม,SEM_180,소프트 스타트,软启动,軟啟動,arranque suave,motion_control,true
TERM_181,ソフトストップ,soft stop,Sanftstopp,arrêt progressif,parada suave,parada suave,arresto morbido,pozvolné zastavení,łagodne zatrzymanie,yumuşak durdurma,dừng mềm,หยุดแบบนุ่ม,SEM_181,소프트 스톱,软停止,軟停止,parada suave,motion_control,true
TERM_182,ポジション数,number of positions,Schaltstellungen,nombre de positions,número de posiciones,número de posições,numero di posizioni,počet poloh,liczba pozycji,pozisyon sayısı,số vị trí,จำนวนตำแหน่ง,SEM_182,포지션 수,位置数,位置數,número de posiciones,valve_features,true
TERM_183,5ポート,5-port,5-Wege,5 orifices,5 vías,5 vias,5 vie,5 cest,5 dróg,5 yollu,5 cổng,5 ช่อง,SEM_183,5포트,5通,5通,5 vías,valve_features,true
TERM_184,3ポート,3-port,3-Wege,3 orifices,3 vías,3 vias,3 vie,3 cesty,3 drogi,3 yollu,3 cổng,3 ช่อง,SEM_184,3포트,3通,3通,3 vías,valve_features,true
TERM_185,2位置,2-position,2-Stellung,2 positions,2 posiciones,2 posições,2 posizioni,2 polohy,2 pozycje,2 pozisyon,2 vị trí,2 ตำแหน่ง,SEM_185,2위치,2位,2位,2 posiciones,valve_features,true
TERM_186,3位置,3-position,3-Stellung,3 positions,3 posiciones,3 posições,3 posizioni,3 polohy,3 pozycje,3 pozisyon,3 vị trí,3 ตำแหน่ง,SEM_186,3위치,3位,3位,3 posiciones,valve_features,true
TERM_187,電気操作,electrical actuation,elektrische Betätigung,actionnement électrique,accionamiento eléctrico,acionamento elétrico,azionamento elettrico,elektrické ovládání,napęd elektryczny,elektrikli kumanda,truyền động điện,การขับเคลื่อนไฟฟ้า,SEM_187,전기 조작,电气操作,電氣操作,accionamiento eléctrico,valve_actuation,true
TERM_188,手動操作,manual actuation,manuelle Betätigung,actionnement manuel,accionamiento manual,acionamento manual,azionamento manuale,ruční ovládání,napęd ręczny,manuel kumanda,truyền động thủ công,การขับเคลื่อนด้วยมือ,SEM_188,수동 조작,手动操作,手動操作,accionamiento manual,valve_actuation,true
TERM_189,パイロット操作,pilot actuation,Pilotbetätigung,actionnement par pilotage,accionamiento piloto,acionamento piloto,azionamento pilota,pilotní ovládání,napęd pilotowy,pilot kumanda,truyền động pilot,การขับเคลื่อนแบบไพลอต,SEM_189,파일럿 조작,先导操作,先導操作,accionamiento piloto,valve_actuation,true
TERM_190,Oリング,O-ring,O-Ring,joint torique,junta tórica,anel O,O-ring,O-kroužek,pierścień O,O-ring,vòng O,โอริง,SEM_190,O링,O型圈,O型環,junta tórica,sealing,true
TERM_191,パッキン,packing,Packung,garniture,empaquetadura,gaxeta,guarnizione,ucpávka,uszczelka,conta,gioăng đệm,แพ็คกิ้ง,SEM_191,패킹,填料,填料,empaquetadura,sealing,true
TERM_192,ガスケット,gasket,Dichtung,joint d'étanchéité,junta,junta,guarnizione,těsnění,uszczelka,conta,gioăng,แก๊สเก็ต,SEM_192,가스켓,垫片,墊片,junta,sealing,true
TERM_193,グリース,grease,Fett,graisse,grasa,graxa,grasso,mazivo,smar,gres,mỡ,จาระบี,SEM_193,그리스,润滑脂,潤滑脂,grasa,lubrication,true
TERM_194,給油,oil supply,Ölzufuhr,graissage,suministro de aceite,fornecimento de óleo,lubrificazione,přívod oleje,podawanie oleju,yağ beslemesi,cung cấp dầu,การจ่ายน้ำมัน,SEM_194,급유,供油,供油,suministro de aceite,lubrication,true
TERM_195,オプション,option,Option,option,opción,opção,opzione,volba,opcja,opsiyon,tùy chọn,ตัวเลือก,SEM_195,옵션,选项,選項,opción,options,true
TERM_196,標準仕様,standard specification,Standardspezifikation,spécification standard,especificación estándar,especificação padrão,specifica standard,standardní specifikace,specyfikacja standardowa,standart özellik,thông số tiêu chuẩn,ข้อกำหนดมาตรฐาน,SEM_196,표준 사양,标准规格,標準規格,especificación estándar,options,true
TERM_197,カスタム仕様,custom specification,Kundenspezifikation,spécification personnalisée,especificación personalizada,especificação personalizada,specifica personalizzata,zákaznická specifikace,specyfikacja niestandardowa,özel özellik,thông số tùy chỉnh,ข้อกำหนดที่กำหนดเอง,SEM_197,맞춤 사양,定制规格,客製規格,especificación personalizada,options,true
TERM_198,取扱説明書,instruction manual,Bedienungsanleitung,manuel d'utilisation,manual de instrucciones,manual de instruções,manuale di istruzioni,návod k obsluze,instrukcja obsługi,kullanım kılavuzu,hướng dẫn sử dụng,คู่มือการใช้งาน,SEM_198,취급 설명서,使用说明书,使用說明書,manual de instrucciones,documentation,true
TERM_199,カタログ,catalog,Katalog,catalogue,catálogo,catálogo,catalogo,katalog,katalog,katalog,danh mục,แคตตาล็อก,SEM_199,카탈로그,目录,目錄,catálogo,documentation,true
TERM_200,図面,drawing,Zeichnung,plan,plano,desenho,disegno,výkres,rysunek,çizim,bản vẽ,แบบร่าง,SEM_200,도면,图纸,圖紙,plano,documentation,true
TERM_201,外形寸法図,outline drawing,Umrisszeichnung,plan d'encombrement,plano de contorno,desenho de contorno,disegno di ingombro,obrysový výkres,rysunek gabarytowy,dış hat çizimi,bản vẽ ngoại hình,แบบร่างโครงร่าง,SEM_201,외형 치수도,外形尺寸图,外形尺寸圖,plano de contorno,documentation,true
TERM_202,型式,model number,Modellnummer,référence,número de modelo,número do modelo,numero di modello,typové číslo,numer modelu,model numarası,số mô hình,หมายเลขรุ่น,SEM_202,형식,型号,型號,número de modelo,ordering,true
TERM_203,シリーズ,series,Serie,série,serie,série,serie,série,seria,seri,dòng,ซีรีส์,SEM_203,시리즈,系列,系列,serie,ordering,true
TERM_204,納期,delivery time,Lieferzeit,délai de livraison,plazo de entrega,prazo de entrega,tempo di consegna,dodací lhůta,termin dostawy,teslimat süresi,thời gian giao hàng,เวลาส่งมอบ,SEM_204,납기,交货期,交貨期,plazo de entrega,ordering,true
TERM_205,在庫,stock,Lagerbestand,stock,existencias,estoque,scorta,sklad,zapas,stok,kho,สต็อก,SEM_205,재고,库存,庫存,existencias,ordering,true
TERM_206,据付,installation,Installation,installation,instalación,instalação,installazione,instalace,instalacja,kurulum,lắp đặt,การติดตั้ง,SEM_206,설치,安装,安裝,instalación,installation,true
TERM_207,配線工事,wiring work,Verkabelungsarbeiten,travaux de câblage,trabajo de cableado,trabalho de fiação,lavoro di cablaggio,kabelážní práce,prace okablowania,kablolama işi,công việc đi dây,งานเดินสาย,SEM_207,배선 공사,布线工作,配線工作,trabajo de cableado,installation,true
TERM_208,配管工事,piping work,Rohrleitungsarbeiten,travaux de tuyauterie,trabajo de tubería,trabalho de tubulação,lavoro di tubazione,potrubní práce,prace instalacyjne rurociągów,boru işi,công việc đường ống,งานท่อ,SEM_208,배관 공사,管道工作,管道工作,trabajo de tubería,installation,true
TERM_209,トラブルシューティング,troubleshooting,Fehlerbehebung,dépannage,solución de problemas,solução de problemas,risoluzione problemi,odstraňování problémů,rozwiązywanie problemów,sorun giderme,khắc phục sự cố,การแก้ไขปัญหา,SEM_209,트러블슈팅,故障排除,故障排除,solución de problemas,troubleshooting,true
TERM_210,原因,cause,Ursache,cause,causa,causa,causa,příčina,przyczyna,neden,nguyên nhân,สาเหตุ,SEM_210,원인,原因,原因,causa,troubleshooting,true
TERM_211,対策,countermeasure,Gegenmaßnahme,contre-mesure,contramedida,contramedida,contromisura,protiopatření,środek zaradczy,önlem,biện pháp đối phó,มาตรการตอบโต้,SEM_211,대책,对策,對策,contramedida,troubleshooting,true
TERM_212,異常,abnormality,Anomalie,anomalie,anomalía,anomalia,anomalia,anomálie,nieprawidłowość,anormallik,bất thường,ความผิดปกติ,SEM_212,이상,异常,異常,anomalía,troubleshooting,true
TERM_213,修理,repair,Reparatur,réparation,reparación,reparo,riparazione,oprava,naprawa,onarım,sửa chữa,การซ่อม,SEM_213,수리,修理,修理,reparación,troubleshooting,true
TERM_214,交換,replacement,Austausch,remplacement,reemplazo,substituição,sostituzione,výměna,wymiana,değiştirme,thay thế,การเปลี่ยน,SEM_214,교환,更换,更換,reemplazo,troubleshooting,true
TERM_215,使用環境,operating environment,Betriebsumgebung,environnement d'utilisation,entorno de operación,ambiente de operação,ambiente operativo,provozní prostředí,środowisko pracy,çalışma ortamı,môi trường vận hành,สภาพแวดล้อมการใช้งาน,SEM_215,사용 환경,使用环境,使用環境,entorno de operación,environment,true
TERM_216,屋内,indoor,Innenbereich,intérieur,interior,interior,interno,vnitřní,wewnętrzny,iç mekan,trong nhà,ในร่ม,SEM_216,실내,室内,室內,interior,environment,true
TERM_217,屋外,outdoor,Außenbereich,extérieur,exterior,exterior,esterno,venkovní,zewnętrzny,dış mekan,ngoài trời,กลางแจ้ง,SEM_217,옥외,室外,室外,exterior,environment,true
TERM_218,湿度,humidity,Luftfeuchtigkeit,humidité,humedad,umidade,umidità,vlhkost,wilgotność,nem,độ ẩm,ความชื้น,SEM_218,습도,湿度,濕度,humedad,environment,true
TERM_219,腐食性雰囲気,corrosive atmosphere,korrosive Atmosphäre,atmosphère corrosive,atmósfera corrosiva,atmosfera corrosiva,atmosfera corrosiva,korozivní atmosféra,atmosfera korozyjna,korozif ortam,khí quyển ăn mòn,บรรยากาศกัดกร่อน,SEM_219,부식성 분위기,腐蚀性气氛,腐蝕性氣氛,atmósfera corrosiva,environment,true
TERM_220,産業用ロボット,industrial robot,Industrieroboter,robot industriel,robot industrial,robô industrial,robot industriale,průmyslový robot,robot przemysłowy,endüstriyel robot,robot công nghiệp,หุ่นยนต์อุตสาหกรรม,SEM_220,산업용 로봇,工业机器人,工業機器人,robot industrial,applications,true
TERM_221,搬送装置,transfer device,Fördereinrichtung,dispositif de transfert,dispositivo de transferencia,dispositivo de transferência,dispositivo di trasferimento,přepravní zařízení,urządzenie transportowe,transfer cihazı,thiết bị chuyển,อุปกรณ์ขนส่ง,SEM_221,반송 장치,搬运装置,搬運裝置,dispositivo de transferencia,applications,true
TERM_222,組立ライン,assembly line,Montagelinie,chaîne d'assemblage,línea de montaje,linha de montagem,linea di assemblaggio,montážní linka,linia montażowa,montaj hattı,dây chuyền lắp ráp,สายการประกอบ,SEM_222,조립 라인,装配线,裝配線,línea de montaje,applications,true
TERM_223,包装機械,packaging machine,Verpackungsmaschine,machine d'emballage,máquina de embalaje,máquina de embalagem,macchina per imballaggio,balicí stroj,maszyna pakująca,paketleme makinesi,máy đóng gói,เครื่องบรรจุภัณฑ์,SEM_223,포장 기계,包装机械,包裝機械,máquina de embalaje,applications,true
